CustomerID,CustomerName,Gender,Age,City,Country,CustomerSegment,JoinDate,LoyaltyMember
C10001,John Iqbal,Male,33,Los Angeles,USA,Premium,2021-08-17,True
C10002,Ava Farooq,Female,44,Manchester,UK,VIP,2023-11-20,True
C10003,Omar Siddiqui,Female,36,Islamabad,Pakistan,Regular,2023-11-20,True
C10004,Faisal Raza,Female,37,Islamabad,Pakistan,New,2023-12-22,False
C10005,Michael Ahmed,Female,53,Vancouver,Canada,Regular,2022-06-27,True
C10006,John Williams,Female,19,Islamabad,Pakistan,Regular,2025-03-07,False
C10007,Mariam Raza,Male,22,Abu Dhabi,UAE,Regular,2024-02-17,True
C10008,Bilal Lewis,Female,27,Vancouver,Canada,Regular,2023-12-25,True
C10009,Noor Johnson,Male,46,Karachi,Pakistan,Premium,2024-12-26,False
C10010,Mariam Farooq,Female,30,Chicago,USA,Regular,2022-10-15,False
C10011,Imran Wilson,Female,28,Berlin,Germany,VIP,2023-10-05,False
C10012,Emma Johnson,Male,63,New York,USA,VIP,2021-02-10,True
C10013,Kamran Wilson,Male,45,Jeddah,Saudi Arabia,Regular,2022-04-27,False
C10014,Noor Malik,Female,50,Lahore,Pakistan,Regular,2023-07-03,False
C10015,Omar Siddiqui,Female,68,Lahore,Pakistan,Regular,2022-01-10,False
C10016,Kamran Lewis,Male,23,New York,USA,Regular,2022-04-27,True
C10017,Imran Williams,Male,67,Vancouver,Canada,Regular,2025-05-04,True
C10018,John Lewis,Female,22,Paris,France,Regular,2022-08-20,True
C10019,Mariam Raza,Female,45,Toronto,Canada,Regular,2025-06-08,False
C10020,Imran Johnson,Male,51,Islamabad,Pakistan,Premium,2022-09-18,True
C10021,Sara Brown,Female,34,New York,USA,Premium,2024-06-26,True
C10022,Sophia Siddiqui,Female,26,Riyadh,Saudi Arabia,Regular,2023-09-11,True
C10023,John Iqbal,Male,22,New York,USA,Premium,2024-08-02,False
C10024,Olivia Shah,Male,38,Karachi,Pakistan,New,2022-09-13,False
C10025,David Shah,Female,40,Karachi,Pakistan,New,2023-01-28,False
C10026,Olivia Johnson,Female,43,Faisalabad,Pakistan,Premium,2023-07-11,True
C10027,Fatima Wilson,Female,69,New York,USA,Regular,2024-07-03,False
C10028,Amina Farooq,Female,24,Dubai,UAE,Regular,2025-11-10,False
C10029,Michael Williams,Male,62,Vancouver,Canada,Regular,2024-08-02,False
C10030,Hassan Malik,Male,60,Paris,France,Premium,2025-06-17,True
C10031,Emma Lewis,Female,20,Multan,Pakistan,Regular,2021-04-25,False
C10032,Faisal Malik,Male,61,Berlin,Germany,Regular,2023-06-12,False
C10033,Bilal Wilson,Female,43,Toronto,Canada,Regular,2021-05-08,True
C10034,Sana Wilson,Female,53,Dubai,UAE,Regular,2021-05-23,False
C10035,Zara Miller,Male,25,Vancouver,Canada,Regular,2022-02-15,True
C10036,Olivia Smith,Female,63,Islamabad,Pakistan,Regular,2024-09-10,False
C10037,Olivia Johnson,Male,25,Dubai,UAE,New,2022-03-08,False
C10038,Amina Clark,Female,47,Manchester,UK,VIP,2021-09-05,True
C10039,Tariq Miller,Female,67,Doha,Qatar,Regular,2021-10-03,True
C10040,Kamran Davis,Female,26,Islamabad,Pakistan,New,2023-09-21,True
C10041,Imran Malik,Male,51,Paris,France,Regular,2022-03-06,False
C10042,Imran Farooq,Male,34,Manchester,UK,Regular,2022-09-09,True
C10043,Amina Ahmed,Male,55,Vancouver,Canada,New,2023-03-06,False
C10044,James Khan,Male,20,Karachi,Pakistan,New,2025-10-09,True
C10045,Laila Khan,Female,58,Paris,France,Premium,2025-11-10,False
C10046,Zara Davis,Male,62,Berlin,Germany,Regular,2022-08-14,False
C10047,Omar Lewis,Male,38,Abu Dhabi,UAE,New,2024-06-24,False
C10048,David Johnson,Male,38,Multan,Pakistan,Regular,2024-02-09,False
C10049,Ayesha Malik,Female,42,Multan,Pakistan,New,2022-07-08,True
C10050,Sophia Smith,Male,66,Toronto,Canada,Regular,2023-09-15,False
C10051,Ali Ahmed,Female,50,New York,USA,Regular,2023-04-07,False
C10052,Zara Miller,Female,36,Karachi,Pakistan,Premium,2021-02-14,True
C10053,David Brown,Female,20,Manchester,UK,Regular,2023-10-18,True
